 ,Area,XM,YM,Perim.
327,5,443.70,383.10,7.66
328,9,464.17,383.39,10.49
329,6,371.50,386.00,7.66
330,3,391.83,388.17,5.66
331,8,420.75,388.88,10.49
332,7,446.93,388.79,9.66
333,9,387.61,393.06,10.49
334,8,360.38,393.62,9.07
335,8,378.38,396.38,9.07
336,11,396.41,401.14,11.07
337,8,343.00,402.50,9.90
338,7,377.21,403.50,8.49
339,6,412.17,403.67,9.07
340,6,456.67,403.33,8.49
341,7,351.79,405.93,10.49
342,6,415.50,407.00,7.66
343,9,371.39,408.83,10.49
344,8,384.62,408.62,9.07
345,9,425.39,413.17,10.49
346,6,360.50,413.00,7.66
347,11,366.14,415.50,13.31
348,9,397.39,414.61,11.07
349,7,447.50,415.79,9.07
350,10,343.30,417.00,10.49
351,8,357.38,419.38,9.07
352,8,371.88,419.25,9.90
353,9,334.50,420.50,9.66
354,9,384.50,421.50,9.66
355,5,346.90,424.70,7.66
356,11,358.86,428.41,11.07
357,8,400.62,428.62,9.07
358,7,453.50,429.79,9.07
359,8,339.00,432.50,9.90
360,7,352.79,432.50,9.07
361,5,391.70,432.10,7.66
362,8,331.00,434.50,9.90
363,7,408.50,435.79,9.07
364,7,377.79,436.50,9.07
365,7,466.50,436.79,9.07
366,6,330.50,440.00,7.66
367,7,354.79,442.93,9.07
368,15,404.23,443.90,15.31
369,8,366.00,447.50,9.90
370,8,391.12,447.75,10.49
371,11,425.05,449.32,11.90
372,13,342.27,449.88,12.49
373,7,436.21,451.50,8.49
374,13,328.12,452.96,12.49
375,5,428.70,453.10,7.66
376,6,359.17,454.33,8.49
377,8,414.00,455.00,11.31
378,7,399.50,455.79,9.07
379,7,339.50,456.21,9.07
380,7,405.50,456.79,9.07
381,9,353.17,457.39,10.49
382,12,321.00,460.00,15.31
383,7,313.50,459.21,9.07
384,7,326.50,460.79,9.07
385,9,431.50,462.50,9.66
386,8,424.88,463.25,9.90
387,6,325.67,465.33,8.49
388,5,343.70,465.10,7.66
389,7,435.50,465.79,9.07
390,3,354.17,466.17,5.66
391,7,397.79,468.50,9.07
392,7,389.50,469.79,9.07
393,7,378.21,470.64,9.07
394,11,352.86,471.77,13.90
395,3,366.83,470.83,5.66
396,9,319.83,476.39,9.90
397,10,337.50,479.30,11.07
398,12,397.50,479.00,12.73
399,6,360.50,479.00,7.66
400,6,432.33,479.33,8.49
401,7,422.79,482.50,9.07
402,6,385.00,483.50,7.66
403,16,345.50,487.12,16.14
404,8,327.50,489.00,10.49
405,9,411.50,488.50,9.66
406,9,309.17,491.61,10.49
407,5,366.70,490.90,7.66
408,6,422.50,492.00,7.66
409,12,318.00,494.33,13.31
410,6,381.00,494.50,7.66
411,7,328.79,500.50,9.07
412,6,414.67,500.33,8.49
413,9,373.17,501.39,10.49
414,8,306.38,503.62,9.07
415,9,386.17,503.39,10.49
416,9,358.61,504.83,10.49
417,11,396.59,505.14,11.07
418,6,312.00,507.50,7.66
419,8,364.38,508.62,9.07
420,8,379.38,509.62,9.07
421,6,301.50,514.00,7.66
422,10,440.30,516.50,11.07
423,9,350.06,517.83,11.31
424,8,388.38,517.62,9.07
425,9,399.17,517.72,10.49
426,9,414.72,517.83,10.49
427,7,308.50,518.50,8.49
428,9,295.61,522.39,11.07
429,7,317.50,521.21,9.07
430,8,307.38,523.38,9.07
431,6,385.00,524.67,9.90
432,9,303.39,526.83,10.49
433,8,407.62,526.38,9.07
434,10,324.00,527.30,10.49
435,6,335.50,527.00,7.66
436,9,377.83,527.39,9.90
437,12,397.00,529.00,11.31
438,5,328.70,530.10,7.66
439,7,385.50,530.50,8.49
440,3,324.50,532.50,6.24
441,7,300.50,534.21,9.07
442,3,310.17,534.50,7.66
443,7,313.64,534.79,9.07
